,Half (Before),Half (After),Whole (Before),Whole (After)
ScotchBrite,8.00,60.37,16.55,107.82
ScotchBrite,7.93,63.80,16.70,117.52
ScotchBrite,8.29,61.29,16.21,109.63
ScotchBrite,7.95,63.00,17.29,117.79
ScotchBrite,8.10,57.24,16.89,115.74
GreatValue,10.64,52.72,18.19,109.29
GreatValue,9.36,61.64,18.51,109.85
GreatValue,8.50,53.96,22.23,114.81
GreatValue,13.63,64.93,19.17,120.96
GreatValue,9.80,65.27,21.42,116.13
SpongeDaddy,4.21,28.38,8.19,76.38
SpongeDaddy,4.24,28.68,8.45,81.57
SpongeDaddy,4.51,26.58,8.49,72.72
SpongeDaddy,4.06,26.17,8.20,59.90
SpongeDaddy,4.15,27.62,8.29,70.90